test_id,category,query,status,confidence,rows,answer,error
BASIC-RETRIEVE-1,BASIC,Show me all FG Stock,PASS,0.9,104,"The FG Stock consists of 104 products with varying current levels, ranging from -0.84 to 31. The average current level is 2.09, with 50% of the products having a current level of 0. Notable products w",
BASIC-RETRIEVE-2,BASIC,List all pending orders,PASS,1.0,33,"Here's the response:

There are 33 pending orders in total, with a mean quantity of 313.75 and a mean rate of material of 30697.58. The pending orders are from various parties, including Rungta Mines ",
BASIC-RETRIEVE-3,BASIC,Show tasks assigned to Ahitesh Tandan,PASS,1.0,142,"Ahitesh Tandan has been assigned a total of 142 tasks, with the first 5 tasks being related to ""Clean Fms Index PMMPL"" given by Kavit Sir. The tasks are scheduled to start on different dates, includin",
BASIC-RETRIEVE-4,BASIC,Display products with stock level greater than 5,PASS,0.9,13,"Here's the response:

The products with a stock level greater than 5 are 12 out of the 13 products listed, with the lowest stock level being 5.65 for High Cast Super. The products with the highest sto",
BASIC-RETRIEVE-5,BASIC,Show orders for Party Name containing 'THERMAL',ERROR,0.0,0,,No data matched the query
FILTER-1,FILTER,Show orders where Pending Qty is greater than 100,PASS,1.0,5,"There are 5 orders where the Pending Qty is greater than 100, with the highest pending quantity being 580.0 for order DO-2229 with party Singhal Steel & Power Pvt. Ltd. The other orders with pending q",
FILTER-2,FILTER,List products where Current Level is less than 5,PASS,0.9,91,"The products where the Current Level is less than 5 are all 91 products listed, as the maximum Current Level is 3.35, which is below the threshold of 5. Specifically, products like 90 S, 95 S, Burner ",
FILTER-3,FILTER,Show payments with status 'Pending',ERROR,0.0,0,,Execution failed: 'DataFrame' object has no attribute 'dtype'
FILTER-4,FILTER,Display tasks where Status is 'Complete',ERROR,0.0,0,,No data matched the query
FILTER-5,FILTER,Show orders placed after 2025-01-01,PASS,1.0,1028,"The provided data does not contain any orders placed after 2025-01-01, as the timestamps in the sample data range from 24/12/2022. Therefore, there are no orders to show that meet the specified criter",
AGG-COUNT-1,AGG,How many products are in FG Stock?,PASS,0.9,1,"There are 104 products in FG Stock. This information is based on the aggregation result, which counted the total number of products. The data analysis confirms that the FG Stock contains a specific qu",
AGG-COUNT-2,AGG,Count total pending orders,PASS,0.9,1,"There are 33 total pending orders. This count is based on the aggregation result, which analyzed the complete data to determine the total number of pending orders. The data analysis confirms that ther",
AGG-COUNT-3,AGG,How many tasks are assigned to each person?,PASS,0.9,1,"The data analysis results indicate that there is a total count of tasks, but it does not provide a breakdown of tasks assigned to each person. However, according to the complete data, there are 8031 t",
AGG-COUNT-4,AGG,Count orders by Party Name,PASS,0.9,1,"The Party Name has a total of 33 orders. This count provides a clear overview of the number of orders associated with this specific party. The data analysis reveals a single aggregation result, focusi",
AGG-COUNT-5,AGG,How many products have stock level below 5?,PASS,0.9,1,There are 91 products with a stock level below 5. This indicates that a significant portion of the inventory is running low. The data suggests that restocking or replenishment efforts may be necessary,
